# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 5.810839e+01
# lRef        : 1.000000e+00
# Aref        : 1.284000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.005         	1.267141e+00	5.820820e-01	6.850587e-01	6.865114e-01	-2.436558e-01	9.301673e-01	-5.869116e-01	-5.148836e-02	9.503555e-02	-1.428986e-19	9.503555e-02	-9.503555e-02
0.01          	2.906259e-01	1.461372e-01	1.444887e-01	-1.098985e-02	-2.598425e-02	1.499440e-02	-2.048932e-02	8.242389e-04	2.179694e-02	-2.611069e-20	2.179694e-02	-2.179694e-02
0.015         	9.008063e-02	4.410009e-02	4.598054e-02	1.253632e-02	-1.408529e-04	1.267718e-02	-6.409015e-03	-9.402243e-04	6.756047e-03	5.870755e-21	6.756047e-03	-6.756047e-03
0.02          	5.912316e-02	2.527464e-02	3.384852e-02	5.715923e-02	1.926120e-03	5.523311e-02	-2.665350e-02	-4.286943e-03	4.434237e-03	7.528882e-21	4.434237e-03	-4.434237e-03
0.025         	6.180683e-02	2.635807e-02	3.544876e-02	6.060461e-02	3.757949e-03	5.684666e-02	-2.654436e-02	-4.545346e-03	4.635512e-03	3.976718e-21	4.635512e-03	-4.635512e-03
0.03          	7.039103e-02	3.082279e-02	3.956824e-02	5.830304e-02	4.302476e-03	5.400057e-02	-2.484905e-02	-4.372728e-03	5.279327e-03	1.739834e-21	5.279327e-03	-5.279327e-03
0.035         	7.795957e-02	3.419325e-02	4.376632e-02	6.382050e-02	3.317560e-03	6.050294e-02	-2.859269e-02	-4.786537e-03	5.846968e-03	1.109370e-21	5.846968e-03	-5.846968e-03
0.04          	8.607859e-02	3.733044e-02	4.874815e-02	7.611809e-02	1.106913e-03	7.501118e-02	-3.695213e-02	-5.708857e-03	6.455895e-03	1.207267e-21	6.455895e-03	-6.455895e-03
0.045         	9.346331e-02	4.011431e-02	5.334900e-02	8.823123e-02	-1.978848e-03	9.021007e-02	-4.609446e-02	-6.617342e-03	7.009748e-03	1.399116e-21	7.009748e-03	-7.009748e-03
0.05          	1.001991e-01	4.229585e-02	5.790323e-02	1.040492e-01	-5.350418e-03	1.093996e-01	-5.737501e-02	-7.803688e-03	7.514931e-03	1.484843e-21	7.514931e-03	-7.514931e-03
0.055         	1.071124e-01	4.451316e-02	6.259927e-02	1.205740e-01	-7.952104e-03	1.285261e-01	-6.823912e-02	-9.043052e-03	8.033433e-03	1.533783e-21	8.033433e-03	-8.033433e-03
0.06          	1.142403e-01	4.720198e-02	6.703831e-02	1.322422e-01	-9.085949e-03	1.413282e-01	-7.520706e-02	-9.918167e-03	8.568022e-03	1.576230e-21	8.568022e-03	-8.568022e-03
0.065         	1.210805e-01	4.991765e-02	7.116286e-02	1.416348e-01	-9.189513e-03	1.508243e-01	-8.000690e-02	-1.062261e-02	9.081039e-03	1.613340e-21	9.081039e-03	-9.081039e-03
0.07          	1.273387e-01	5.260225e-02	7.473647e-02	1.475615e-01	-8.697551e-03	1.562590e-01	-8.247828e-02	-1.106711e-02	9.550404e-03	1.645626e-21	9.550404e-03	-9.550404e-03
0.075         	1.326377e-01	5.479395e-02	7.784371e-02	1.536650e-01	-8.362484e-03	1.620275e-01	-8.519500e-02	-1.152488e-02	9.947824e-03	1.659764e-21	9.947824e-03	-9.947824e-03
0.08          	1.374668e-01	5.677561e-02	8.069117e-02	1.594370e-01	-8.682027e-03	1.681190e-01	-8.840054e-02	-1.195778e-02	1.031001e-02	1.666799e-21	1.031001e-02	-1.031001e-02
0.085         	1.418055e-01	5.836352e-02	8.344200e-02	1.671899e-01	-9.165765e-03	1.763556e-01	-9.276070e-02	-1.253924e-02	1.063541e-02	1.653133e-21	1.063541e-02	-1.063541e-02
0.09          	1.462093e-01	6.005108e-02	8.615823e-02	1.740477e-01	-9.360497e-03	1.834082e-01	-9.638435e-02	-1.305358e-02	1.096570e-02	1.658460e-21	1.096570e-02	-1.096570e-02
0.095         	1.499729e-01	6.146793e-02	8.850493e-02	1.802466e-01	-9.551377e-03	1.897980e-01	-9.967469e-02	-1.351850e-02	1.124796e-02	1.652447e-21	1.124796e-02	-1.124796e-02
0.1           	1.529274e-01	6.236355e-02	9.056385e-02	1.880020e-01	-9.565267e-03	1.975673e-01	-1.035663e-01	-1.410015e-02	1.146956e-02	1.633735e-21	1.146956e-02	-1.146956e-02
0.105         	1.552702e-01	6.314450e-02	9.212573e-02	1.932082e-01	-9.544518e-03	2.027527e-01	-1.061486e-01	-1.449061e-02	1.164527e-02	1.620941e-21	1.164527e-02	-1.164527e-02
0.11          	1.569856e-01	6.380790e-02	9.317768e-02	1.957986e-01	-8.956517e-03	2.047551e-01	-1.068558e-01	-1.468489e-02	1.177392e-02	1.604100e-21	1.177392e-02	-1.177392e-02
0.115         	1.581397e-01	6.419279e-02	9.394688e-02	1.983606e-01	-8.553603e-03	2.069142e-01	-1.077339e-01	-1.487705e-02	1.186048e-02	1.573052e-21	1.186048e-02	-1.186048e-02
0.12          	1.588487e-01	6.437562e-02	9.447308e-02	2.006498e-01	-8.093375e-03	2.087431e-01	-1.084183e-01	-1.504873e-02	1.191365e-02	1.537097e-21	1.191365e-02	-1.191365e-02
0.125         	1.591128e-01	6.443454e-02	9.467829e-02	2.016250e-01	-7.377991e-03	2.090030e-01	-1.081905e-01	-1.512188e-02	1.193346e-02	1.501428e-21	1.193346e-02	-1.193346e-02
0.13          	1.588726e-01	6.442466e-02	9.444790e-02	2.001550e-01	-6.316473e-03	2.064714e-01	-1.063940e-01	-1.501162e-02	1.191544e-02	1.468279e-21	1.191544e-02	-1.191544e-02
0.135         	1.584223e-01	6.432397e-02	9.409830e-02	1.984956e-01	-5.416071e-03	2.039116e-01	-1.046639e-01	-1.488717e-02	1.188167e-02	1.437836e-21	1.188167e-02	-1.188167e-02
0.14          	1.575253e-01	6.409904e-02	9.342622e-02	1.955145e-01	-4.158995e-03	1.996735e-01	-1.019163e-01	-1.466359e-02	1.181440e-02	1.406928e-21	1.181440e-02	-1.181440e-02
0.145         	1.562427e-01	6.400722e-02	9.223552e-02	1.881886e-01	-2.237020e-03	1.904257e-01	-9.633134e-02	-1.411415e-02	1.171821e-02	1.396927e-21	1.171821e-02	-1.171821e-02
0.15          	1.546243e-01	6.401802e-02	9.060631e-02	1.772553e-01	1.509190e-04	1.771044e-01	-8.847673e-02	-1.329415e-02	1.159682e-02	1.393083e-21	1.159682e-02	-1.159682e-02
0.155         	1.527040e-01	6.394508e-02	8.875895e-02	1.654258e-01	2.638837e-03	1.627870e-01	-8.007406e-02	-1.240693e-02	1.145280e-02	1.378675e-21	1.145280e-02	-1.145280e-02
0.16          	1.505745e-01	6.390442e-02	8.667005e-02	1.517709e-01	5.502218e-03	1.462686e-01	-7.038321e-02	-1.138281e-02	1.129309e-02	1.370183e-21	1.129309e-02	-1.129309e-02
0.165         	1.482219e-01	6.405626e-02	8.416563e-02	1.340624e-01	8.974567e-03	1.250878e-01	-5.805663e-02	-1.005468e-02	1.111664e-02	1.382003e-21	1.111664e-02	-1.111664e-02
0.17          	1.456621e-01	6.423699e-02	8.142511e-02	1.145875e-01	1.267150e-02	1.019159e-01	-4.462222e-02	-8.594059e-03	1.092466e-02	1.394907e-21	1.092466e-02	-1.092466e-02
0.175         	1.429917e-01	6.430669e-02	7.868499e-02	9.585530e-02	1.620083e-02	7.965447e-02	-3.172682e-02	-7.189148e-03	1.072438e-02	1.389147e-21	1.072438e-02	-1.072438e-02
0.18          	1.403191e-01	6.447129e-02	7.584785e-02	7.584374e-02	1.980101e-02	5.604274e-02	-1.812086e-02	-5.688281e-03	1.052394e-02	1.393513e-21	1.052394e-02	-1.052394e-02
0.185         	1.377165e-01	6.467775e-02	7.303872e-02	5.573979e-02	2.330371e-02	3.243607e-02	-4.566181e-03	-4.180484e-03	1.032873e-02	1.418316e-21	1.032873e-02	-1.032873e-02
0.19          	1.351995e-01	6.474172e-02	7.045774e-02	3.810678e-02	2.631199e-02	1.179479e-02	7.258603e-03	-2.858008e-03	1.013996e-02	1.426516e-21	1.013996e-02	-1.013996e-02
0.195         	1.328911e-01	6.472299e-02	6.816811e-02	2.296745e-02	2.878819e-02	-5.820746e-03	1.730447e-02	-1.722559e-03	9.966832e-03	1.432918e-21	9.966832e-03	-9.966832e-03
0.2           	1.308525e-01	6.474524e-02	6.610726e-02	9.080108e-03	3.086650e-02	-2.178639e-02	2.632644e-02	-6.810081e-04	9.813937e-03	1.464253e-21	9.813937e-03	-9.813937e-03
0.205         	1.290196e-01	6.456851e-02	6.445105e-02	-7.830243e-04	3.204261e-02	-3.282564e-02	3.243413e-02	5.872683e-05	9.676467e-03	1.475971e-21	9.676467e-03	-9.676467e-03
0.21          	1.275241e-01	6.425220e-02	6.327192e-02	-6.535205e-03	3.231854e-02	-3.885375e-02	3.558615e-02	4.901404e-04	9.564308e-03	1.487751e-21	9.564308e-03	-9.564308e-03
0.215         	1.264598e-01	6.389582e-02	6.256399e-02	-8.878869e-03	3.177531e-02	-4.065418e-02	3.621475e-02	6.659151e-04	9.484486e-03	1.521342e-21	9.484486e-03	-9.484486e-03
0.22          	1.257548e-01	6.336972e-02	6.238505e-02	-6.564456e-03	3.022558e-02	-3.679004e-02	3.350781e-02	4.923342e-04	9.431608e-03	1.539455e-21	9.431608e-03	-9.431608e-03
0.225         	1.253882e-01	6.270249e-02	6.268567e-02	-1.121681e-04	2.784894e-02	-2.796111e-02	2.790503e-02	8.412610e-06	9.404112e-03	1.549826e-21	9.404112e-03	-9.404112e-03
0.23          	1.253516e-01	6.196156e-02	6.339000e-02	9.522928e-03	2.481134e-02	-1.528842e-02	2.004988e-02	-7.142196e-04	9.401367e-03	1.582355e-21	9.401367e-03	-9.401367e-03
